iter	RMSE
0	4.151594252
1	4.123819443
2	4.115530499
3	4.095753715
4	4.089740939
5	4.076831406
6	4.073972006
7	4.070543411
8	4.056263478
9	4.054256577
10	4.043605963
11	4.04105517
12	4.039450106
13	4.030035717
14	4.019549829
15	4.014949305
16	4.005699345
17	3.990584664
18	3.980147809
19	3.973950468
20	3.972599155
21	3.970916801
22	3.963008017
23	3.9570547
24	3.956315961
25	3.954430656
26	3.95353828
27	3.949586645
28	3.94414447
29	3.936317621
30	3.92799575
31	3.922252915
32	3.918622549
33	3.913004658
34	3.906250636
35	3.90174305
36	3.896100399
37	3.89174742
38	3.887723121
39	3.884014723
40	3.881184096
41	3.876963677
42	3.87374811
43	3.872168106
44	3.868935635
45	3.865446075
46	3.859713754
47	3.856337738
48	3.853633686
49	3.850929773
50	3.847184629
51	3.845496815
52	3.841476726
53	3.840374365
54	3.838013936
55	3.83474709
56	3.832674315
57	3.831708803
58	3.829369875
59	3.827396657
60	3.826764517
61	3.823808593
62	3.822161679
63	3.819718931
64	3.8182608
65	3.810292934
66	3.807906422
67	3.805004715
68	3.804225103
69	3.803130194
70	3.80172218
71	3.801269215
72	3.80072125
73	3.800073945
74	3.79703753
75	3.796539113
76	3.792881124
77	3.791640166
78	3.789361604
79	3.787599435
80	3.785587268
81	3.785021563
82	3.784436866
83	3.783448468
84	3.782236285
85	3.780456559
86	3.780070925
87	3.779649627
88	3.779240261
89	3.777447778
90	3.775974855
91	3.774676956
92	3.772025509
93	3.770838504
94	3.768237097
95	3.766878165
96	3.764176312
97	3.761797554
98	3.760217938
99	3.759860999
100	3.759119407
101	3.758059632
102	3.756960264
103	3.756261646
104	3.755825038
105	3.755574108
106	3.754489418
107	3.753172342
108	3.752123405
109	3.750778179
110	3.750190997
111	3.748603925
112	3.744515006
113	3.743078897
114	3.742755431
115	3.740682103
116	3.73963187
117	3.737885166
118	3.736752493
119	3.73522343
120	3.726871166
121	3.725908489
122	3.725056
123	3.724830993
124	3.723961892
125	3.721839054
126	3.719827389
127	3.718799029
128	3.716406556
129	3.71617059
130	3.712525075
131	3.712225763
132	3.706942791
133	3.706702766
134	3.704750357
135	3.704056004
136	3.703035895
137	3.702849436
138	3.702041748
139	3.701825076
140	3.701427086
141	3.701112497
142	3.70002277
143	3.699333721
144	3.69887093
145	3.697485053
146	3.696363879
147	3.692447512
148	3.68971374
149	3.689038967
150	3.688435076
151	3.687996
152	3.687836891
153	3.686355147
154	3.685800917
155	3.684325548
156	3.684115057
157	3.682029993
158	3.681136979
159	3.680520536
160	3.679033868
161	3.678441962
162	3.675639682
163	3.675095701
164	3.673268016
165	3.672650093
166	3.672251685
167	3.672154931
168	3.670105361
169	3.669675401
170	3.66706441
171	3.666517168
172	3.664805918
173	3.663034116
174	3.66149079
175	3.660638417
176	3.660110192
177	3.658748637
178	3.656985414
179	3.655716552
180	3.655436087
181	3.655237645
