iter	Passed	Remaining
0	222	222231
1	489	244177
2	695	231239
3	873	217457
4	1056	210263
5	1244	206196
6	1450	205818
7	1597	198073
8	1806	198936
9	1967	194757
10	2159	194198
11	2303	189682
12	2504	190117
13	2669	187979
14	2851	187270
15	3052	187732
16	3245	187647
17	3413	186205
18	3618	186831
19	3794	185935
20	3945	183913
21	4111	182788
22	4293	182392
23	4495	182809
24	4663	181889
25	4812	180297
26	4950	178397
27	5162	179211
28	5338	178738
29	5513	178273
30	5672	177307
31	5860	177280
32	6034	176830
33	6203	176241
34	6357	175291
35	6547	175318
36	6839	178010
37	6991	176987
38	7293	179710
39	7452	178860
40	7628	178440
41	7792	177736
42	8044	179033
43	8276	179832
44	8582	182138
45	8786	182221
46	8970	181901
47	9182	182126
48	9433	183081
49	9637	183103
50	9840	183102
51	10016	182604
52	10208	182406
53	10370	181674
54	10562	181476
55	10743	181102
56	10936	180925
57	11147	181052
58	11318	180528
59	11491	180027
60	11639	179166
61	11841	179157
62	11995	178404
63	12172	178027
64	12335	177441
65	12539	177451
66	12753	177597
67	12928	177201
68	13098	176733
69	13290	176567
70	13455	176054
71	13613	175465
72	13783	175036
73	13911	174075
74	14081	173667
75	14214	172822
76	14398	172594
77	14555	172059
78	14721	171626
79	14871	171022
80	15048	170733
81	15205	170232
82	15398	170125
83	15547	169540
84	15713	169155
85	15872	168692
86	16028	168212
87	16157	167452
88	16299	166837
89	16466	166489
90	16622	166047
91	16774	165556
92	16968	165492
93	17124	165052
94	17324	165040
95	17501	164804
96	17677	164560
97	17838	164189
98	18020	164001
99	18168	163515
100	18349	163331
101	18499	162865
102	18699	162848
103	18845	162359
104	19013	162068
105	19145	161471
106	19327	161306
107	19490	160975
108	19656	160676
109	19810	160282
110	19986	160068
111	20155	159807
112	20359	159813
113	20566	159837
114	20710	159384
115	20885	159163
116	21051	158879
117	21239	158754
118	21420	158586
119	21607	158457
120	21844	158690
121	22276	160321
122	22432	159943
123	22590	159590
124	22752	159270
125	22928	159041
126	23114	158886
127	23291	158670
128	23495	158642
129	23641	158217
130	23814	157973
131	23940	157425
132	24151	157440
133	24305	157081
134	24517	157093
135	24731	157117
136	24901	156862
137	25037	156391
138	25225	156252
139	25365	155819
140	25529	155530
141	25712	155363
142	25956	155560
143	26172	155580
144	26308	155127
145	26484	154914
146	26646	154619
147	26848	154561
148	27077	154648
149	27263	154490
150	27419	154166
151	27570	153812
152	27744	153593
153	27928	153422
154	28120	153303
155	28331	153280
156	28496	153012
157	28695	152919
158	28916	152950
159	29075	152646
160	29238	152364
161	29392	152042
162	29577	151878
163	29770	151759
164	29989	151765
165	30202	151742
166	30432	151799
167	30625	151669
168	30813	151512
169	31049	151593
170	31248	151489
171	31463	151465
172	31739	151727
173	31931	151582
174	32142	151528
175	32412	151748
176	32602	151593
177	32819	151558
178	33099	151813
179	33267	151550
180	33454	151375
181	33681	151381
182	33829	151031
183	34022	150881
184	34204	150686
185	34418	150628
186	34702	150874
187	34871	150616
188	35035	150339
189	35191	150024
190	35392	149906
191	35545	149587
192	35760	149525
193	35913	149208
194	36122	149119
195	36337	149058
196	36562	149034
197	36744	148834
198	36896	148514
199	37058	148232
200	37277	148181
201	37485	148085
202	37631	147745
203	37838	147645
204	37991	147331
205	38185	147179
206	38465	147359
207	38780	147664
208	38964	147467
209	39197	147457
210	39462	147562
211	39621	147272
212	39803	147065
213	39965	146790
214	40155	146614
215	40298	146269
216	40484	146081
217	40621	145716
218	40800	145503
219	40960	145224
220	41150	145052
221	41340	144877
222	41501	144602
223	41739	144597
224	41918	144387
225	42059	144043
226	42276	143964
227	42477	143827
228	42757	143956
229	42976	143878
230	43219	143876
231	43435	143786
232	43656	143709
233	43916	143760
234	44198	143879
235	44413	143777
236	44597	143577
237	44846	143585
238	45156	143784
239	45361	143644
240	45631	143709
241	45898	143763
242	46051	143460
243	46193	143122
244	46329	142770
245	46520	142587
246	46681	142313
247	46866	142112
248	47031	141850
249	47202	141606
250	47357	141318
251	47568	141194
252	47695	140823
253	47874	140607
254	48046	140370
255	48214	140123
256	48382	139875
257	48530	139572
258	48749	139471
259	48914	139218
260	49089	138993
261	49281	138814
262	49455	138587
263	49614	138318
264	49817	138172
265	49974	137899
266	50349	138225
267	50523	137998
268	50665	137683
269	50803	137357
270	50977	137132
271	51153	136911
272	51324	136677
273	51475	136390
274	51662	136202
275	51797	135875
276	51960	135621
277	52133	135396
278	52296	135147
279	52450	134872
280	52645	134705
281	52853	134569
282	53010	134305
283	53155	134012
284	53321	133771
285	53476	133505
286	53630	133235
287	53780	132957
288	53915	132643
289	54053	132336
290	54176	131995
291	54321	131711
292	54457	131404
293	54624	131173
294	54769	130889
295	54932	130651
296	55089	130396
297	55239	130127
298	55381	129841
299	55551	129619
300	55711	129376
301	55884	129162
302	56052	128938
303	56219	128714
304	56392	128500
305	56574	128308
306	56708	128008
307	56871	127776
308	57032	127539
309	57205	127327
310	57364	127087
311	57525	126850
312	57704	126655
313	57865	126419
314	58020	126172
315	58190	125957
316	58341	125700
317	58518	125501
318	58707	125328
319	58861	125081
320	59024	124852
321	59167	124582
322	59329	124353
323	59487	124115
324	59635	123858
325	59792	123620
326	59947	123379
327	60100	123133
328	60263	122908
329	60430	122692
330	60596	122474
331	60765	122263
332	60945	122074
333	61131	121895
334	61317	121720
335	61509	121554
336	61728	121441
337	61945	121325
338	62136	121156
339	62335	121004
340	62551	120883
341	62682	120599
342	62843	120373
343	62990	120121
344	63142	119879
345	63294	119636
346	63451	119405
347	63607	119172
348	63751	118917
349	63882	118639
350	64026	118385
351	64190	118169
352	64333	117913
353	64482	117671
354	64643	117450
355	64821	117262
356	64975	117029
357	65155	116843
358	65324	116638
359	65476	116402
360	65638	116186
361	65795	115959
362	65966	115759
363	66126	115539
364	66287	115322
365	66411	115041
366	66567	114814
367	66702	114554
368	66844	114305
369	66967	114026
370	67131	113816
371	67275	113572
372	67408	113312
373	67534	113039
374	67685	112808
375	67862	112623
376	68024	112412
377	68187	112201
378	68376	112036
379	68524	111802
380	68701	111617
381	68880	111434
382	69064	111260
383	69214	111031
384	69375	110819
385	69545	110624
386	69707	110415
387	69830	110145
388	70009	109964
389	70147	109718
390	70310	109512
391	70470	109301
392	70634	109097
393	70804	108902
394	70984	108722
395	71135	108500
396	71334	108348
397	71552	108227
398	71728	108041
399	71888	107833
400	72049	107625
401	72236	107456
402	72439	107311
403	72597	107099
404	72748	106877
405	72912	106674
406	73077	106473
407	73232	106259
408	73410	106076
409	73628	105953
410	73797	105758
411	73967	105565
412	74119	105346
413	74307	105179
414	74455	104956
415	74673	104829
416	74868	104672
417	75039	104481
418	75207	104285
419	75385	104103
420	75552	103907
421	75733	103729
422	75891	103521
423	76095	103375
424	76298	103227
425	76476	103045
426	76637	102841
427	76788	102623
428	76972	102449
429	77131	102244
430	77292	102039
431	77458	101843
432	77622	101643
433	77782	101439
434	77951	101247
435	78087	101012
436	78291	100865
437	78464	100678
438	78701	100573
439	78959	100493
440	79144	100320
441	79319	100136
442	79483	99937
443	79680	99779
444	79840	99576
445	80030	99409
446	80181	99194
447	80368	99025
448	80547	98845
449	80713	98650
450	80857	98427
451	81033	98244
452	81221	98075
453	81395	97889
454	81620	97764
455	81793	97578
456	81960	97383
457	82126	97189
458	82300	97003
459	82443	96781
460	82693	96684
461	82845	96474
462	83018	96286
463	83171	96077
464	83316	95858
465	83476	95657
466	83646	95468
467	83811	95273
468	84045	95155
469	84242	94996
470	84403	94796
471	84584	94619
472	84788	94468
473	84948	94268
474	85106	94065
475	85280	93879
476	85445	93685
477	85578	93456
478	85733	93250
479	85892	93050
480	86064	92863
481	86230	92671
482	86386	92467
483	86548	92270
484	86726	92091
485	86880	91885
486	87074	91723
487	87231	91521
488	87403	91335
489	87566	91140
490	87733	90949
491	87887	90746
492	88067	90568
493	88221	90364
494	88425	90212
495	88588	90017
496	88748	89819
497	88916	89630
498	89114	89471
499	89277	89277
500	89441	89084
501	89610	88896
502	89768	88697
503	89916	88489
504	90068	88284
505	90217	88077
506	90383	87887
507	90549	87697
508	90717	87509
509	90890	87326
510	91066	87146
511	91224	86948
512	91421	86787
513	91606	86616
514	91773	86427
515	91947	86245
516	92137	86078
517	92366	85947
518	92588	85809
519	92784	85646
520	92996	85499
521	93239	85379
522	93441	85223
523	93621	85045
524	93839	84902
525	94130	84824
526	94383	84712
527	94642	84604
528	94847	84448
529	95022	84265
530	95188	84074
531	95326	83858
532	95494	83669
533	95660	83479
534	95812	83276
535	95965	83074
536	96120	82874
537	96277	82677
538	96426	82472
539	96585	82276
540	96732	82070
541	96864	81852
542	97030	81663
543	97213	81488
544	97352	81275
545	97500	81072
546	97683	80896
547	97827	80689
548	98011	80515
549	98179	80328
550	98323	80122
551	98459	79909
552	98640	79733
553	98846	79576
554	99011	79387
555	99194	79212
556	99369	79031
557	99544	78850
558	99690	78646
559	99892	78487
560	100031	78277
561	100205	78096
562	100382	77916
563	100566	77742
564	100792	77601
565	100968	77420
566	101140	77238
567	101338	77074
568	101500	76883
569	101678	76704
570	101840	76513
571	102016	76333
572	102210	76167
573	102385	75986
574	102560	75805
575	102728	75619
576	102924	75454
577	103137	75300
578	103300	75111
579	103462	74921
580	103618	74726
581	103778	74535
582	103944	74348
583	104102	74155
584	104254	73958
585	104424	73774
586	104568	73572
587	104729	73381
588	104887	73189
589	105074	73017
590	105242	72833
591	105415	72651
592	105581	72465
593	105755	72283
594	105911	72091
595	106096	71918
596	106259	71729
597	106455	71563
598	106627	71381
599	106809	71206
600	106952	71004
601	107144	70836
602	107323	70658
603	107503	70482
604	107652	70285
605	107817	70098
606	107984	69914
607	108152	69729
608	108317	69543
609	108478	69355
610	108630	69160
611	108783	68967
612	108944	68778
613	109099	68586
614	109256	68396
615	109403	68199
616	109599	68033
617	109778	67856
618	109988	67698
619	110147	67509
620	110358	67352
621	110665	67253
622	110860	67085
623	111096	66943
624	111348	66809
625	111520	66627
626	111727	66466
627	111946	66312
628	112095	66116
629	112256	65928
630	112415	65739
631	112573	65549
632	112711	65347
633	112883	65165
634	113058	64986
635	113243	64812
636	113393	64618
637	113762	64548
638	114011	64410
639	114174	64223
640	114324	64028
641	114492	63844
642	114669	63665
643	114831	63478
644	115029	63310
645	115245	63152
646	115422	62974
647	115599	62794
648	115825	62642
649	115980	62450
650	116166	62276
651	116398	62126
652	116636	61979
653	116843	61816
654	117010	61631
655	117190	61453
656	117344	61261
657	117527	61085
658	117687	60897
659	117881	60726
660	118093	60565
661	118241	60370
662	118384	60174
663	118530	59979
664	118676	59784
665	118830	59593
666	118972	59397
667	119120	59203
668	119286	59019
669	119431	58824
670	119595	58639
671	119756	58452
672	119971	58292
673	120221	58148
674	120421	57980
675	120608	57806
676	120867	57666
677	121053	57491
678	121274	57333
679	121580	57214
680	121836	57071
681	122099	56932
682	122460	56837
683	122790	56727
684	123002	56563
685	123313	56443
686	123543	56286
687	123717	56104
688	123895	55923
689	124098	55754
690	124280	55575
691	124458	55394
692	124599	55197
693	124803	55028
694	125018	54864
695	125208	54688
696	125423	54524
697	125752	54408
698	125993	54254
699	126233	54100
700	126429	53926
701	126598	53741
702	126819	53578
703	127035	53412
704	127189	53221
705	127435	53068
706	127826	52974
707	128152	52853
708	128365	52686
709	128610	52531
710	128802	52354
711	128981	52172
712	129133	51979
713	129347	51811
714	129545	51636
715	129696	51443
716	129849	51251
717	130000	51058
718	130134	50859
719	130306	50674
720	130466	50485
721	130603	50287
722	130760	50097
723	130935	49914
724	131084	49721
725	131270	49542
726	131435	49356
727	131606	49171
728	131748	48976
729	131921	48792
730	132103	48612
731	132278	48429
732	132462	48250
733	132639	48068
734	132857	47900
735	133035	47719
736	133204	47534
737	133412	47363
738	133580	47177
739	133779	47003
740	134007	46839
741	134229	46672
742	134410	46491
743	134608	46316
744	134867	46162
745	135057	45984
746	135248	45806
747	135459	45635
748	135660	45461
749	135829	45276
750	136043	45106
751	136192	44914
752	136423	44749
753	136638	44579
754	136812	44395
755	137022	44224
756	137239	44054
757	137632	43940
758	137920	43792
759	138157	43628
760	138399	43465
761	138611	43293
762	138832	43123
763	139055	42954
764	139227	42769
765	139428	42593
766	139649	42422
767	139853	42247
768	140044	42067
769	140233	41887
770	140407	41703
771	140583	41519
772	140725	41325
773	140906	41143
774	141036	40946
775	141219	40764
776	141396	40580
777	141587	40401
778	141744	40212
779	141972	40043
780	142203	39875
781	142393	39695
782	142611	39523
783	142860	39359
784	143061	39182
785	143227	38995
786	143399	38810
787	143572	38626
788	143775	38449
789	144027	38285
790	144267	38118
791	144442	37934
792	144639	37755
793	144881	37588
794	145080	37410
795	145287	37234
796	145564	37075
797	145752	36894
798	145966	36719
799	146273	36568
800	146551	36409
801	146805	36243
802	147031	36071
803	147226	35891
804	147416	35709
805	147633	35534
806	147786	35344
807	147962	35159
808	148119	34970
809	148312	34789
810	148470	34600
811	148643	34415
812	148799	34225
813	148995	34045
814	149140	33853
815	149331	33672
816	149505	33487
817	149680	33303
818	149854	33118
819	150011	32929
820	150181	32743
821	150347	32556
822	150550	32378
823	150763	32201
824	150955	32020
825	151127	31835
826	151272	31644
827	151472	31465
828	151629	31277
829	151783	31088
830	151993	30910
831	152221	30736
832	152475	30568
833	152678	30389
834	152870	30207
835	153063	30026
836	153279	29850
837	153421	29659
838	153600	29475
839	153764	29288
840	153945	29105
841	154114	28919
842	154306	28737
843	154447	28547
844	154632	28364
845	154811	28180
846	154985	27996
847	155226	27823
848	155405	27639
849	155586	27456
850	155718	27264
851	155927	27086
852	156093	26900
853	156263	26714
854	156441	26531
855	156633	26349
856	156814	26166
857	156992	25982
858	157179	25800
859	157360	25616
860	157565	25437
861	157738	25252
862	157913	25068
863	158111	24887
864	158262	24699
865	158449	24517
866	158611	24331
867	158832	24154
868	158997	23968
869	159164	23783
870	159314	23595
871	159485	23410
872	159649	23225
873	159821	23040
874	159966	22852
875	160216	22679
876	160394	22495
877	160614	22317
878	160827	22138
879	161126	21971
880	161466	21809
881	161806	21647
882	162128	21482
883	162309	21298
884	162530	21119
885	162774	20943
886	163015	20767
887	163234	20588
888	163423	20404
889	163639	20225
890	163914	20052
891	164139	19873
892	164462	19706
893	164769	19536
894	165030	19361
895	165206	19175
896	165429	18995
897	165686	18819
898	165893	18637
899	166130	18458
900	166301	18272
901	166475	18087
902	166654	17901
903	166829	17716
904	166992	17529
905	167168	17344
906	167406	17165
907	167548	16976
908	167740	16792
909	167916	16607
910	168104	16422
911	168323	16241
912	168506	16057
913	168677	15871
914	168819	15682
915	169007	15498
916	169161	15311
917	169343	15126
918	169521	14941
919	169676	14754
920	169832	14567
921	169986	14380
922	170147	14194
923	170330	14009
924	170527	13826
925	170717	13642
926	170890	13457
927	171086	13273
928	171280	13090
929	171479	12907
930	171644	12721
931	171865	12539
932	172108	12359
933	172315	12176
934	172495	11991
935	172636	11804
936	172791	11617
937	172970	11433
938	173129	11246
939	173315	11062
940	173466	10876
941	173654	10692
942	173819	10506
943	173996	10321
944	174157	10136
945	174336	9951
946	174492	9765
947	174656	9580
948	174808	9394
949	174955	9208
950	175113	9022
