genre,title,poster_link,description,labels
comedy,The School for Good and Evil,"https://m.media-amazon.com/images/M/MV5BNzM1ODI4Y2UtMGYxMS00OTUxLWE4NzItNjgxMTM2NzRjZThkXkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_QL75_UX190_CR0,0,190,281_.jpg",Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,Action Comedy Drama
comedy,She-Hulk: Attorney at Law,"https://m.media-amazon.com/images/M/MV5BMjU4MTkxNzktNzUyYy00NDM2LWE5NGQtNjJlN2Q0N2MxZDAxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered Hulk.",Action Adventure Comedy
comedy,Bullet Train,"https://m.media-amazon.com/images/M/MV5BMDU2ZmM2OTYtNzIxYy00NjM5LTliNGQtN2JmOWQzYTBmZWUzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,Action Comedy Thriller
comedy,The Curse of Bridge Hollow,"https://m.media-amazon.com/images/M/MV5BMjUzMzMxODYtNjc1OS00NDNiLWIzMzMtNTBhMjE5NDllNzY0XkEyXkFqcGdeQXVyMzE5ODc1OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg","A teenage girl, who accidentally releases an ancient and mischievous spirit on Halloween which causes decorations to come alive and wreak havoc, must team up with the last person she'd want to in order to save their town - her father!",Adventure Comedy Family
comedy,Hocus Pocus,"https://m.media-amazon.com/images/M/MV5BNWM3NmRhMGMtOGE4ZC00MDk0LWI1NjMtMjVlNTEwOTcwZTc0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,1,190,281_.jpg","A teenage boy named Max and his little sister move to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.",Comedy Family Fantasy
comedy,Amsterdam,"https://m.media-amazon.com/images/M/MV5BNDQwNzE0ZTItYmZjMC00NjI3LWFlNzctNTExZDY2NWE0Zjc0XkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_QL75_UX190_CR0,2,190,281_.jpg","In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history.",Comedy Drama History
comedy,Hocus Pocus 2,"https://m.media-amazon.com/images/M/MV5BODcxYzI1MTktZWYzNC00MGZlLWI3ZjYtNzhmM2IyOTlkNjYyXkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_QL75_UX190_CR0,0,190,281_.jpg",Two young women accidentally bring back the Sanderson Sisters to modern day Salem and must figure out how to stop the child-hungry witches from wreaking havoc on the world.,Comedy Family Fantasy
comedy,Rick and Morty,"https://m.media-amazon.com/images/M/MV5BZjRjOTFkOTktZWUzMi00YzMyLThkMmYtMjEwNmQyNzliYTNmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_QL75_UX190_CR0,2,190,281_.jpg",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,Animation Adventure Comedy
comedy,Chainsaw Man,"https://m.media-amazon.com/images/M/MV5BZjY5MDFhZTgtOGVhMi00NTUzLTk5NjktNmRlMjI3NjI4MmE0XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UY281_CR0,0,190,281_.jpg","Following a betrayal, a young man left for the dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils.",Animation Action Adventure
comedy,The Bear,"https://m.media-amazon.com/images/M/MV5BMmZmMjgyOTUtZjljMS00NjhlLTkzMmItM2EyMzY5NzU0NzFiXkEyXkFqcGdeQXVyNjIzMTEyNDk@._V1_QL75_UY281_CR18,0,190,281_.jpg",A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.,Comedy Drama
comedy,Rosaline,"https://m.media-amazon.com/images/M/MV5BYzYzZjc2YWItOWRkYS00ZTRhLTllMjItOTFiZTIwY2FjMzc2XkEyXkFqcGdeQXVyNDE4MDU5OTE@._V1_QL75_UY281_CR18,0,190,281_.jpg","A comedic retelling of Shakespeare's ""Romeo and Juliet,"" told from the point of view of Romeo's jilted ex, Rosaline, the woman Romeo first claims to love before he falls for Juliet.",Comedy Romance
comedy,The Boys,"https://m.media-amazon.com/images/M/MV5BOTEyNDJhMDAtY2U5ZS00OTMzLTkwODktMjU3MjFkZWVlMGYyXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UY281_CR18,0,190,281_.jpg",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,Action Comedy Crime
comedy,The Banshees of Inisherin,"https://m.media-amazon.com/images/M/MV5BM2NlZDI0ZDktNTg5OS00ZjQ1LWI4MDEtN2I0MDE5NWRiNzA4XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,4,190,281_.jpg","Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",Comedy Drama
comedy,The White Lotus,"https://m.media-amazon.com/images/M/MV5BYjdjNzBmYjEtM2Y5My00YjI0LWJjY2YtOGQ4MjNkNmE2MDVjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,0,190,281_.jpg","Set in a tropical resort, it follows the exploits of various guests and employees over the span of a week.",Comedy Drama
comedy,Derry Girls,"https://m.media-amazon.com/images/M/MV5BNzU0MTFiNjUtNzIxMi00ZGZiLTgwZmUtMjIxOWNmMDE0NTE1XkEyXkFqcGdeQXVyNjg0NTcxMTg@._V1_QL75_UX190_CR0,2,190,281_.jpg",The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.,Comedy
comedy,Ticket to Paradise,"https://m.media-amazon.com/images/M/MV5BMWE0MmEwMWUtZjRjOC00YzE3LWI2MjctNjc3NWQ0YTVmNDQ4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX190_CR0,10,190,281_.jpg",A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.,Comedy Romance
comedy,Bad Sisters,"https://m.media-amazon.com/images/M/MV5BNjc2ZWY3NjYtM2Q5OS00YTI1LTk5MDktYjYwYTk2Yzc4YTc4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,2,190,281_.jpg","Follows the Garvey sisters, who are bound together by the death of their parents and a promise to always protect each other.",Comedy Drama Thriller
