genre,title,poster_link,description,labels
documentary,Welcome to Wrexham,"https://m.media-amazon.com/images/M/MV5BNWVkNTg1YmUtMWY3Mi00MThmLTlmZDctYWExODRkZTA5NDhhXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UY281_CR2,0,190,281_.jpg","Docuseries chronicling the purchase and stewardship of Wrexham AFC, one of professional football's oldest clubs, by two Hollywood actors, Ryan Reynolds and Rob McElhenney.",Documentary Sport
documentary,Unsolved Mysteries,"https://m.media-amazon.com/images/M/MV5BNGYzODZjZGYtZDFkMi00NzQ3LWI5MTgtMmRlMmY0OTgwNzY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg","Immersive, character-driven stories are rooted in the experiences of ordinary people who have lived the unthinkable. Families, detectives and journalists hope viewers hold the clues to solving these mysteries.",Documentary Crime Mystery
documentary,The Greatest Lie Ever Sold: George Floyd and the Rise of BLM,"https://m.media-amazon.com/images/M/MV5BNjkyODk4ZmYtMjQ2My00MTg1LTlhN2ItYTE1NTY4ZDgzYzlmXkEyXkFqcGdeQXVyMTUzMjQxODI1._V1_QL75_UX190_CR0,2,190,281_.jpg","On the 2-year anniversary of George Floyd's death, Candace revisits Minneapolis and the violent, racially-divided aftermath that fueled BLM's global rise-and filled its coffers.",Documentary
documentary,The Vow,"https://m.media-amazon.com/images/M/MV5BMmUwNzUwZGQtOTZlMi00ZTYwLWI5NDctNThmNTAwZjMwZjlkXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_QL75_UX190_CR0,0,190,281_.jpg","A look at the experiences of the members of the NXIVM, an organization and sex cult that made headlines for being charged with sex trafficking, racketeering, and conspiracy.",Documentary Crime
documentary,Conversations with a Killer: The Jeffrey Dahmer Tapes,"https://m.media-amazon.com/images/M/MV5BNTZiZWE1NjQtNzk3MS00NDg3LTk5MmMtNzEwNzhjYWIxZWQyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR1,0,190,281_.jpg","Serial killer Jeffrey Dahmer confesses to his gruesome crimes in unguarded interviews, offering an unsettling view into a disturbed mind.",Documentary Biography Crime
documentary,The Rehearsal,"https://m.media-amazon.com/images/M/MV5BNGI3ZTgwMzItMTA0ZC00NTFhLTkzNTQtMDBkMDc2NmVmY2NkXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX190_CR0,0,190,281_.jpg",Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,Documentary Comedy
documentary,Black Butterflies,"https://m.media-amazon.com/images/M/MV5BNTE2ZjQwNzMtMmQxZC00MjAwLThkMGQtZDg5YzJjMWQzZWU5XkEyXkFqcGdeQXVyOTI2MDI2MjE@._V1_QL75_UX190_CR0,0,190,281_.jpg","Black Butterflies beams a light on the injustices of the for-profit prison industry; specifically, how the criminal justice machine manipulates Black women.",Documentary
documentary,The Redeem Team,"https://m.media-amazon.com/images/M/MV5BZDE5OGU2ZDQtMGQ0Ni00YzBhLWEyODUtMWUzZTA3NjMxYzVlXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UX190_CR0,0,190,281_.jpg","Follows the story of the 2008 U.S. Olympic Men's Basketball team and how ""The Redeem Team"" set a new standard for American basketball.",Documentary History Sport
documentary,Somebody Feed Phil,"https://m.media-amazon.com/images/M/MV5BMWM2M2U2YzUtNjIzNC00MmY5LWFkZjItMGRlMzdkZmY0NGQyXkEyXkFqcGdeQXVyNjMwMzc3MjE@._V1_QL75_UY281_CR6,0,190,281_.jpg",Phil travels around the world sampling food and tradition with friends and a sense of humor.,Documentary
documentary,Moonage Daydream,"https://m.media-amazon.com/images/M/MV5BNzU1YjhlNGQtYjViMC00OTZjLTgyYjMtODhmMTIwNGQ4MTQ0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY281_CR1,0,190,281_.jpg","A cinematic odyssey exploring David Bowie's creative and musical journey. From visionary filmmaker Brett Morgen, and sanctioned by the Bowie estate.",Documentary Music
