title,description,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film_noir,history,horror,music,musical,mystery,romance,sci_fi,short,sport,superhero,thriller,war,western,poster_path
The Expanse,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,./data/posters/drama/the_expanse.jpg
Night Stalker: The Hunt for a Serial Killer,This limited docu-series tells the true story of how one of the most notorious serial killers in American history was hunted down and brought to justice.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,./data/posters/documentary/night_stalker__the_hunt_for_a_serial_killer.jpg
Hannah Montana: The Movie,"As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most.",0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,./data/posters/music/hannah_montana__the_movie.jpg
London Kills,Drama series following the detectives of an elite murder investigation squad in London.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,./data/posters/crime/london_kills.jpg
Women's Prison,"A sadistic prison warden takes out her sexual frustration on her women inmates. While a caring physician tries to improve the jail's brutal atmosphere, a pair of rebellious inmates take matters into their own hands.",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/film_noir/women_s_prison.jpg
House of 1000 Corpses,Two young couples traveling across the backwoods of Texas searching for urban legends of murder end up as prisoners of a bizarre and sadistic backwater family of serial killers.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,./data/posters/horror/house_of_1000_corpses.jpg
Milo Murphy's Law,"An animated comedy adventure series that follows 13-year-old Milo Murphy, the fictional great-great-great-great grandson of the Murphy's Law namesake. Additionally, Dakota and Cavendish come from the future to prevent pistachio extinction.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,./data/posters/short/milo_murphy_s_law.jpg
The Fallen Idol,"A butler working in a foreign embassy in London falls under suspicion when his wife accidentally falls to her death, the only witness being an impressionable young boy.",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,./data/posters/film_noir/the_fallen_idol.jpg
Conspiracy,"At the Wannsee Conference on January 20, 1942, senior Nazi officials meet to determine the manner in which the so-called ""Final Solution to the Jewish Question"" can be best implemented.",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,./data/posters/war/conspiracy.jpg
The Bride of Frankenstein,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,./data/posters/sci_fi/the_bride_of_frankenstein.jpg
