title,description,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film_noir,history,horror,music,musical,mystery,romance,sci_fi,short,sport,superhero,thriller,war,western,poster_path,descr_action,descr_adventure,descr_animation,descr_biography,descr_comedy,descr_crime,descr_documentary,descr_drama,descr_family,descr_fantasy,descr_film_noir,descr_history,descr_horror,descr_music,descr_musical,descr_mystery,descr_romance,descr_sci_fi,descr_short,descr_sport,descr_superhero,descr_thriller,descr_war,descr_western,label_action,label_adventure,label_animation,label_biography,label_comedy,label_crime,label_documentary,label_drama,label_family,label_fantasy,label_film_noir,label_history,label_horror,label_music,label_musical,label_mystery,label_romance,label_sci_fi,label_short,label_sport,label_superhero,label_thriller,label_war,label_western
The Expanse,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,./data/posters/drama/the_expanse.jpg,-1.7353553,-2.0521781,-2.3187132,-3.3603323,-1.501659,-3.231547,-1.4940898,-0.88715017,-3.6463027,-2.1614842,-4.960728,-3.2275758,-3.042468,-5.690452,-5.4923687,-3.0221715,-3.279222,-2.1584897,-0.20756435,-3.3654258,-4.046495,-3.381069,-4.921396,-4.2279577,-3.5262306,-3.8466113,-3.9980156,-2.7971132,-1.7458799,-2.2386615,-0.56058425,-0.8634819,-3.7072706,-2.729316,-3.1685457,-2.8189738,-0.8594034,-2.8941462,-4.705538,-1.7402462,-2.4776857,-2.7255204,-1.6301802,-4.4516234,-4.4606843,-1.9209841,-3.9356377,-4.2538595
Night Stalker: The Hunt for a Serial Killer,This limited docu-series tells the true story of how one of the most notorious serial killers in American history was hunted down and brought to justice.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,./data/posters/documentary/night_stalker__the_hunt_for_a_serial_killer.jpg,-1.6285994,-2.3514915,-2.5481668,-3.2049668,-1.7835959,-2.1624215,-0.76093185,-1.6061879,-4.250574,-2.7005324,-5.0461073,-2.9489439,-3.1336052,-6.0275807,-5.9739327,-2.93026,-4.0641212,-2.6783755,-0.40693015,-3.7660065,-4.0189457,-3.183953,-5.0602026,-4.233124,-3.521924,-3.8496606,-3.9366193,-2.912678,-1.718511,-2.161377,-0.45573342,-1.0430465,-3.6921618,-2.703327,-3.1624544,-2.9092052,-0.782845,-2.9547758,-4.714048,-1.7186917,-2.5982006,-2.736385,-1.5662977,-4.4795237,-4.416039,-1.8962466,-4.000548,-4.2406673
Hannah Montana: The Movie,"As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most.",0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,./data/posters/music/hannah_montana__the_movie.jpg,-2.5402591,-2.1170628,-2.4772198,-3.5221772,-1.319661,-4.0307083,-1.8986874,-1.4783853,-3.5321958,-3.0856154,-6.073732,-3.3131413,-4.371741,-5.674218,-5.601576,-4.4657683,-3.4572496,-4.0128536,-0.70009494,-3.744137,-5.271362,-4.659714,-5.7997727,-3.5224652,-3.6132452,-3.875621,-3.9917936,-2.8397577,-1.6666169,-2.2771258,-0.49611393,-0.9524146,-3.679049,-2.7643087,-3.2571077,-2.8792033,-0.91461575,-2.8144345,-4.6554213,-1.8282712,-2.4735222,-2.7925029,-1.5826551,-4.4546905,-4.5094395,-2.0189297,-3.9984002,-4.2715526
London Kills,Drama series following the detectives of an elite murder investigation squad in London.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,./data/posters/crime/london_kills.jpg,-1.7845771,-3.1474752,-3.182972,-3.2229235,-1.5878468,-1.1720501,-1.9990621,-0.11072936,-4.37111,-2.5812778,-4.405116,-3.3747444,-2.8501935,-6.421534,-6.1406045,-1.7973859,-3.5622923,-2.9535167,-0.71646404,-3.7310157,-4.1257653,-2.2772312,-4.714828,-4.470703,-3.474939,-3.9269001,-4.1505046,-2.669847,-1.9220666,-2.1049035,-0.54997903,-0.7027807,-3.843177,-2.7798362,-2.9843893,-2.645991,-0.8560186,-3.0886483,-4.85473,-1.6223341,-2.5415876,-2.7231588,-1.7203033,-4.4029064,-4.4642043,-1.8003788,-3.8048923,-4.209084
Women's Prison,"A sadistic prison warden takes out her sexual frustration on her women inmates. While a caring physician tries to improve the jail's brutal atmosphere, a pair of rebellious inmates take matters into their own hands.",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/film_noir/women_s_prison.jpg,-2.345602,-3.2047944,-3.3226144,-3.1098197,-1.2245349,-2.5626404,-2.9306273,0.15290022,-4.0595837,-3.0385864,-4.7855773,-3.5775359,-4.0065207,-6.318029,-5.974219,-3.416628,-2.9337468,-3.7500138,-0.99116486,-3.4564178,-5.076585,-3.6474147,-5.420234,-3.8811285,-3.5226517,-3.9382868,-4.1428447,-2.6851883,-1.893863,-2.091745,-0.5965514,-0.67942053,-3.8321476,-2.7690034,-2.9608383,-2.6928847,-0.8370728,-3.0815682,-4.846175,-1.6014292,-2.5015738,-2.7446148,-1.7369878,-4.4311423,-4.4861627,-1.7933809,-3.8398247,-4.254248
House of 1000 Corpses,Two young couples traveling across the backwoods of Texas searching for urban legends of murder end up as prisoners of a bizarre and sadistic backwater family of serial killers.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,./data/posters/horror/house_of_1000_corpses.jpg,-2.1557753,-2.7486286,-2.979087,-4.0007043,-1.7604237,-2.5073204,-1.8569592,-1.6699754,-4.325662,-2.7781518,-5.052084,-3.9787698,-2.263785,-6.3825936,-6.194044,-2.6590016,-4.091305,-2.748539,-0.529548,-4.4130774,-4.475429,-2.9573727,-5.6914306,-3.574889,-3.4700682,-3.8782618,-4.076223,-2.738708,-1.8722008,-2.123003,-0.5024943,-0.80704653,-3.7912345,-2.7157705,-2.98498,-2.6849992,-0.7709755,-3.0861752,-4.823391,-1.607619,-2.5647151,-2.6904306,-1.6681648,-4.40775,-4.4097686,-1.7859389,-3.82508,-4.1891155
Milo Murphy's Law,"An animated comedy adventure series that follows 13-year-old Milo Murphy, the fictional great-great-great-great grandson of the Murphy's Law namesake. Additionally, Dakota and Cavendish come from the future to prevent pistachio extinction.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,./data/posters/short/milo_murphy_s_law.jpg,-1.9637569,-1.6799295,-1.2568405,-3.9899719,-0.29389575,-3.6747372,-2.184396,-2.1109529,-2.9808033,-2.5645635,-6.0012317,-3.8552225,-3.9372227,-5.6135216,-5.20122,-4.0842104,-3.5581176,-3.163338,0.18477514,-3.3989265,-4.1256275,-4.4041686,-5.523537,-4.347899,-3.4563835,-3.865288,-4.0739655,-2.6847868,-1.834848,-2.1604524,-0.51366997,-0.7745739,-3.7729642,-2.7379115,-3.0384016,-2.6717331,-0.84961724,-3.0089457,-4.784436,-1.6630757,-2.5045764,-2.6969435,-1.6514217,-4.358623,-4.427134,-1.846018,-3.8148797,-4.181821
The Fallen Idol,"A butler working in a foreign embassy in London falls under suspicion when his wife accidentally falls to her death, the only witness being an impressionable young boy.",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,./data/posters/film_noir/the_fallen_idol.jpg,-1.8574021,-2.4030004,-2.663945,-3.2194881,-1.3858136,-3.0617392,-2.102535,-0.29216868,-3.704283,-2.2001603,-5.024715,-3.1043909,-3.3317616,-6.068876,-5.7056694,-3.0446708,-2.863406,-2.7565835,-0.42604274,-3.4431822,-4.383179,-3.3774137,-4.889126,-4.229524,-3.5380814,-3.852145,-4.0030885,-2.813434,-1.7600209,-2.2294288,-0.5623982,-0.8653275,-3.7117107,-2.7259405,-3.1581817,-2.8294785,-0.8451018,-2.9012003,-4.709127,-1.7277542,-2.4824288,-2.733062,-1.6338568,-4.470273,-4.4658356,-1.9110662,-3.9443197,-4.2614408
Conspiracy,"At the Wannsee Conference on January 20, 1942, senior Nazi officials meet to determine the manner in which the so-called ""Final Solution to the Jewish Question"" can be best implemented.",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,./data/posters/war/conspiracy.jpg,-1.7497194,-2.3471453,-3.2736545,-2.6013007,-1.8145334,-3.5693169,-2.2116117,0.05958419,-4.0976467,-2.4806943,-5.538903,-1.5107332,-4.1923194,-6.282142,-5.907699,-3.642448,-2.9667606,-3.3178847,-1.1312312,-3.8164725,-4.787234,-3.4712892,-3.7936637,-4.181167,-3.481404,-3.916083,-4.1516275,-2.621882,-1.8865927,-2.1431413,-0.5468424,-0.6697813,-3.8152304,-2.7694082,-2.9923217,-2.6144679,-0.88528895,-3.0270896,-4.813723,-1.6445022,-2.4656947,-2.7128563,-1.7166386,-4.360783,-4.46398,-1.828697,-3.7746456,-4.2142463
The Bride of Frankenstein,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,./data/posters/sci_fi/the_bride_of_frankenstein.jpg,-2.093518,-2.0840557,-2.3339906,-3.2789423,-1.5138166,-3.330772,-1.381384,-0.97583365,-3.677384,-2.126462,-5.315975,-2.8893616,-3.1451197,-5.5511675,-5.4531674,-3.2131028,-3.388343,-2.6321542,-0.15097885,-3.705161,-4.3497577,-3.6354375,-4.9580345,-4.3703775,-3.5603468,-3.8388336,-3.9567986,-2.848217,-1.7006463,-2.2605891,-0.5245694,-0.9364948,-3.6679668,-2.6980228,-3.1937933,-2.8581042,-0.81711173,-2.872378,-4.672683,-1.7476239,-2.4831908,-2.7360528,-1.5857202,-4.473041,-4.4501987,-1.9366227,-3.9709544,-4.266194
