genre,title,poster_link,description,labels
short,Tales of the Jedi,"https://m.media-amazon.com/images/M/MV5BODMwYmE1ZGItYWVjNi00ZWUxLWFjYjQtNjdjN2MzNzY0NmRlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX190_CR0,0,190,281_.jpg",It showcases animated shorts that feature Jedi from the prequel era.,Animation Short Action
short,Abbott Elementary,"https://m.media-amazon.com/images/M/MV5BMTY1MWUwYjItY2JmYi00ZDgyLTgzMjUtNzNkMzg0NjNjYTdkXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UY281_CR4,0,190,281_.jpg","Follows a group of teachers brought together in one of the worst public schools in the country, simply because they love teaching.",Short Comedy
short,"Love, Death & Robots","https://m.media-amazon.com/images/M/MV5BYTNiYTNkNTAtYzE3ZS00ZDQ1LWEwZTYtZjI1NzYzMWJjY2U4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX190_CR0,0,190,281_.jpg","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",Animation Short Action
short,Hotel Desire,"https://m.media-amazon.com/images/M/MV5BYjNmZjIzNjItNDMxMS00ZjNjLTg3ZDYtZjliYmM1M2MxOTUzXkEyXkFqcGdeQXVyNjUzNDkzMDI@._V1_QL75_UY281_CR4,0,190,281_.jpg","A young single mother drops her son of at the bus stop to visit his dad in Paris. After being late for work, she almost gets fired. At the end of her duties she gets into a tricky situation which she handles, with the advice her colleague gave her.",Short Drama Romance
short,Family Reunion,"https://m.media-amazon.com/images/M/MV5BZjc4ZmYzZmYtMzgyYi00NGQ2LTgyNGMtYTJkNjQzNDFjODBhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg","When the McKellan family moves from Seattle to Georgia to be closer to extended family, the transition is like being a catfish out of water.",Short Comedy Family
short,Over the Garden Wall,"https://m.media-amazon.com/images/M/MV5BYzhjNzI0NWEtMzEyYy00OGViLThhMjctMWQxNGQ3Y2IzOTY4XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY281_CR4,0,190,281_.jpg",Two brothers find themselves lost in a mysterious land and try to find their way home.,Animation Short Adventure
short,Black Adam Precursor,"https://m.media-amazon.com/images/M/MV5BZDIxYjAzY2EtZjVjNS00OWI4LTljMDMtZWRmYTA4NDEwNWMxXkEyXkFqcGdeQXVyMTEyNzgwMDUw._V1_QL75_UX190_CR0,0,190,281_.jpg","5000 years ago, living as a slave under a culture rich with wealth and magic, Teth-Adam gains the powers of Shazam and uses them against his masters. Shazam interferes, locking Adam away until the present day. Black Adam is ""destroying bullies"" when the Justice Society step in to help. They include Hawkman and Doctor Fate, who Adam seems to be familiar with, as well a...",Animation Short Fantasy
short,Terrifier,"https://m.media-amazon.com/images/M/MV5BZTFhMDViMTYtOWE3ZC00MmM5LTgxZmEtNzc2NjAzZDJmMTc5XkEyXkFqcGdeQXVyNTEwNDY2MjU@._V1_QL75_UY281_CR14,0,190,281_.jpg","After witnessing a brutal murder on Halloween night, a young woman becomes the next target of a maniacal entity.",Short Horror
short,Kenobi: A Star Wars Story,"https://m.media-amazon.com/images/M/MV5BOGUwZjg2NjUtMGViZC00ZjgxLTljZTYtNWU0ODcyNzg2NzBhXkEyXkFqcGdeQXVyMzMxMzQ2ODA@._V1_QL75_UX190_CR0,8,190,281_.jpg","After years in hiding, Obi-Wan Kenobi struggles to reconnect with the Force in order to protect Luke Skywalker from Imperial forces.",Short Action Adventure
short,Superman/Shazam!: The Return of Black Adam,"https://m.media-amazon.com/images/M/MV5BYTU5MjBiNjctMWFjNC00MTI5LTk2NTgtMWY5NjY2MGQ2MGE4XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX190_CR0,2,190,281_.jpg","Superman finds a foe who may be too powerful even for him to defeat in the murderous Black Adam. Fortunately, Black Adam's real target is the Earth's Mightiest Mortal--Captain Marvel.",Animation Short Action
short,Bob Hearts Abishola,"https://m.media-amazon.com/images/M/MV5BOGEzOTc3MTctY2ExZi00MDViLWFkYTQtN2Y2MDFmN2NhZTI4XkEyXkFqcGdeQXVyNjc0MjkzNjc@._V1_QL75_UX190_CR0,28,190,281_.jpg",An American guy falls in love with his Nigerian nurse.,Short Comedy Romance
short,I Am Groot,"https://m.media-amazon.com/images/M/MV5BMjMzODFiNjgtZmQwZC00YmFmLWI5MTQtYjc1YjQzN2Y4NjgyXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX190_CR0,0,190,281_.jpg",A series of shorts featuring the seedling Groot along with several new and unusual characters.,Animation Short Action
short,The 9th Circle,"https://m.media-amazon.com/images/M/MV5BMWJjNGMzZTYtZGU4YS00NTM3LTkwZDUtODI4YmU2YjhiNTZkXkEyXkFqcGdeQXVyNDA5ODU0NDg@._V1_QL75_UY281_CR5,0,190,281_.jpg",A woman is abducted by a sinister stranger on Halloween night for a fate worse than death.,Short Horror
short,XXX Lust,"https://m.media-amazon.com/images/M/MV5BNGVhYzE2ZTktNDM1Ny00MWE2LTk3OGMtMDFhMmRkZGVjZGEzXkEyXkFqcGdeQXVyMTQ0NDUxNTg@._V1_QL75_UY281_CR46,0,190,281_.jpg",,Short Music
short,Home Movie: The Princess Bride,"https://m.media-amazon.com/images/M/MV5BZjU3ZWUwZDgtMTEwOC00NGU1LWI5ZDUtYWQyMjY1YWQzYjQwXkEyXkFqcGdeQXVyNTk5NTQzNDI@._V1_QL75_UX190_CR0,2,190,281_.jpg",Serialized remake of 'The Princess Bride' told in short chapters featuring celebrities at home during quarantine.,Short Comedy Fantasy
short,The Amazing World of Gumball,"https://m.media-amazon.com/images/M/MV5BYWU1YTA4OGUtNjcxMC00ZTllLTgxYWUtY2U5NmViZTU0MmNjXkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_QL75_UX190_CR0,2,190,281_.jpg",The life of a twelve-year-old boy who happens to be a blue cat as he lives with his family and other strange creatures.,Animation Short Adventure
short,Bee and PuppyCat,"https://m.media-amazon.com/images/M/MV5BMjliZWQwNmUtMDZiNC00M2MwLTgwZTAtM2YwOWUzY2NhNjRjXkEyXkFqcGdeQXVyNTQxNTM1Njg@._V1_QL75_UX190_CR0,3,190,281_.jpg","Bee, an unemployed woman, is living a normal life until a grumpy companion named PuppyCat arrives. Follow Bee and and PuppyCat as they travel between reality and ""Fishbowl Space.""",Animation Short Action
