genre,title,poster_link,description,labels
sport,Ted Lasso,"https://m.media-amazon.com/images/M/MV5BMDVmODUzNmEtMGMxZC00NWUzLTkxMTAtMDM5OTQzMWE0ZDM3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.",Comedy Drama Sport
sport,Cobra Kai,"https://m.media-amazon.com/images/M/MV5BYWU4ZmI0NTItZjcyNy00MzQ5LThiNDQtZDZkNjg1NWUwN2RhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX190_CR0,0,190,281_.jpg","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",Action Comedy Drama
sport,Creed III,"https://m.media-amazon.com/images/M/MV5BZDNlZmRkM2UtZTBiYy00YTlhLThkZmEtM2YwY2FkMTUwZjViXkEyXkFqcGdeQXVyMTMzNDE5NDM2._V1_QL75_UX190_CR0,0,190,281_.jpg","Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight.",Drama Sport
sport,Welcome to Wrexham,"https://m.media-amazon.com/images/M/MV5BNWVkNTg1YmUtMWY3Mi00MThmLTlmZDctYWExODRkZTA5NDhhXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UY281_CR2,0,190,281_.jpg","Docuseries chronicling the purchase and stewardship of Wrexham AFC, one of professional football's oldest clubs, by two Hollywood actors, Ryan Reynolds and Rob McElhenney.",Documentary Sport
sport,One Tree Hill,"https://m.media-amazon.com/images/M/MV5BN2Y0NzRjOTQtNGNmYS00NjNiLWIwY2MtZWIyZDI5ZDhhZmI1XkEyXkFqcGdeQXVyODIxOTMwMjk@._V1_QL75_UY281_CR8,0,190,281_.jpg","Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina.",Drama Romance Sport
sport,Big Shot,"https://m.media-amazon.com/images/M/MV5BNzQ1ZmU1Y2MtZTgzYS00MTc3LTk5MjYtNDllYTk5NTAzMWFjXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_QL75_UY281_CR1,0,190,281_.jpg",A temperamental college basketball coach who gets fired from his job and must take a teaching and coaching job at an elite all-girls private high school.,Comedy Drama Sport
sport,Friday Night Lights,"https://m.media-amazon.com/images/M/MV5BYTkxZDVhZGItZjM3Yi00YTU1LTk2ZDYtYTI4NTg2Mjc0NWY1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY281_CR11,0,190,281_.jpg","A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",Drama Sport
sport,The Mighty Ducks: Game Changers,"https://m.media-amazon.com/images/M/MV5BOGM4MTg3Y2MtOWZiMi00YTYzLTkyZjctNjM5ZmUzYWZkMjE3XkEyXkFqcGdeQXVyMTU5OTc2NTk@._V1_QL75_UY281_CR18,0,190,281_.jpg","After failing to make the cut to join the now powerhouse Mighty Ducks junior hockey team, 12-year-old Evan's mother encourages him to form a new team of underdogs with help from Gordon Bombay, the Ducks' original coach.",Comedy Drama Sport
sport,A League of Their Own,"https://m.media-amazon.com/images/M/MV5BZDI2MjFjYzItODhlNC00NDkxLTljNGItYjU3NjE4ZGNmZmE1XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX190_CR0,0,190,281_.jpg",Comedy series about the WWII All-American professional women's baseball league.,Comedy Drama Romance
sport,Hustle,"https://m.media-amazon.com/images/M/MV5BYjdhYTE3NjMtZjI3OC00NzVlLWFiNTUtNzQ3NDNiNTI3NDg4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,0,190,281_.jpg",A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.,Comedy Drama Sport
