genre,title,poster_link,description,labels
western,Yellowstone,"https://m.media-amazon.com/images/M/MV5BZjhkNWM1NTQtODI4NS00NzllLTg1ODAtYjg3N2QxZjc3ZjRiXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_QL75_UY281_CR9,0,190,281_.jpg",A ranching family in Montana faces off against others encroaching on their land.,Drama Western
western,1883,"https://m.media-amazon.com/images/M/MV5BNDZkZDdkMjYtMGI3Yi00MmVkLTkzZjQtMGI0NGViNzIzNjhjXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UY281_CR1,0,190,281_.jpg",Follows the Dutton family as they embark on a journey west.,Drama Western
western,Walker: Independence,"https://m.media-amazon.com/images/M/MV5BZjMzZmYzOTUtNzE5YS00OTEwLWE0ZmUtYmZhNzkwYWIzZTIzXkEyXkFqcGdeQXVyMTQwNDg5OTQ2._V1_QL75_UY281_CR18,0,190,281_.jpg","Abby Walker's husband is murdered before her eyes. On her quest for revenge, Abby crosses paths with Hoyt Rawlins. Abby and Hoyt's journey takes them to Independence, Texas, where they encounter residents running from their own pasts.",Action Crime Drama
western,Justified,"https://m.media-amazon.com/images/M/MV5BNzRjNGVhNDMtODI0ZS00NGNhLWE2MTctMGRkMzdhZmQ1YWY4XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_QL75_UX190_CR0,0,190,281_.jpg","U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",Action Crime Drama
western,Walker,"https://m.media-amazon.com/images/M/MV5BNjM5ODI1NjItNjZhOC00ZTliLThiODMtMDg3YWM5YzljZWVkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,2,190,281_.jpg","A widowed father returns to Austin after one year, attempting to reconnect with his children, navigate clashes with his family, and find common ground with his new partner, while growing increasingly suspicious of his wife's death.",Action Crime Drama
western,Killers of the Flower Moon,"https://m.media-amazon.com/images/M/MV5BZmMyMDc4NWMtZmUzNC00ZjczLWE1ZmYtYWQ3ZTk4ODBmYzE2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY281_CR116,0,190,281_.jpg",Members of the Osage tribe in the United States are murdered under mysterious circumstances in the 1920s sparking a major F.B.I. investigation involving J. Edgar Hoover.,Crime Drama History
western,Gunsmoke,"https://m.media-amazon.com/images/M/MV5BMTcxMDcxODk2MF5BMl5BanBnXkFtZTcwMTM3MDU1MQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg",Marshal Matt Dillon keeps the peace in rough-and-tumble Dodge City.,Western
western,Django Unchained,"https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",Drama Western
western,1923,"https://m.media-amazon.com/images/M/MV5BYTE2NTEwZWQtMDFjZC00NGQ0LWFiZGItOWZkMjg5Zjc0YmVkXkEyXkFqcGdeQXVyMTI5MzA3MjI2._V1_QL75_UY281_CR186,0,190,281_.jpg","The next chapter of the Yellowstone origin story is ordered. Produced by MTV Entertainment Studios and 101 Studios, 1923 will follow a new generation of Duttons during the time of Western expansion, Prohibition and the Great Depression.",Drama Western
western,Deadwood,"https://m.media-amazon.com/images/M/MV5BNDJhMjUzMDYtNzc4MS00Nzk2LTkyMGQtN2M5NTczYTZmYmY5XkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_QL75_UY281_CR1,0,190,281_.jpg","A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",Crime Drama History
